CHART_DATE,CHART_YEAR,CHART_MONTH,CHART_WEEK,ICE_SEASON,SEA_AREA,NCT_AREA,MYI_AREA,FYI_AREA,YOUNGICE_AREA,NEWICE_AREA
09/07/1971,1971,7,28,1971,386512.8067,252243.7225,200026.3773,53499.58859,0,0
16/07/1971,1971,7,29,1971,386512.8075,275936.268,241759.829,35475.71569,0,0
23/07/1971,1971,7,30,1971,386512.8076,248197.6557,242601.1055,6758.691202,0,0
30/07/1971,1971,7,31,1971,386512.8075,205635.9962,196731.681,8904.315159,0,0
06/08/1971,1971,8,32,1971,386512.8076,265763.0651,233037.1797,112.3434647,0,32619.15907
13/08/1971,1971,8,33,1971,386512.808,247148.0785,246225.0293,923.0492456,0,0
20/08/1971,1971,8,34,1971,386512.8069,236257.9413,223506.0393,12751.90201,0,0
27/08/1971,1971,8,35,1971,386512.8074,238751.1457,236166.0494,2530.119144,340.8022687,0
03/09/1971,1971,9,36,1971,386512.8067,264589.047,249240.2398,12801.91681,923.7195305,1623.17089
10/09/1971,1971,9,37,1971,386512.8075,235487.7422,203217.1938,8762.127881,4206.969656,20563.54171
17/09/1971,1971,9,38,1971,386512.8079,217744.5903,214438.7987,3305.791588,0,0
01/10/1971,1971,10,40,1971,386512.8075,248811.9469,237598.9705,0,0,12101.10245
08/10/1971,1971,10,41,1971,386512.8073,286720.9226,223756.4958,0,33479.9968,36908.39074
15/10/1971,1971,10,42,1971,386512.8077,367545.8477,234099.4103,6973.583795,85642.21843,46662.15964
22/10/1971,1971,10,43,1971,386512.8075,345822.6964,182686.4729,0,138426.3444,32899.28398
29/10/1971,1971,10,44,1971,386512.8076,379317.5436,195509.3374,3479.589557,141598.285,46566.45939
19/06/1972,1972,6,25,1972,386512.8222,306462.3667,219222.3141,87240.05261,0,0
26/06/1972,1972,6,26,1972,386512.8219,248120.2191,149745.6458,100817.5704,0,0
03/07/1972,1972,7,27,1972,386512.8224,246526.0718,91189.23341,155336.8383,0,0
10/07/1972,1972,7,28,1972,386512.8222,255568.0661,132863.6031,122704.463,0,0
17/07/1972,1972,7,29,1972,386512.8227,264300.935,150076.6483,114224.2867,0,0
24/07/1972,1972,7,30,1972,386512.8218,280039.7067,173621.6931,106418.0137,0,0
31/07/1972,1972,7,31,1972,386512.8223,221639.35,161786.8182,61384.47626,0,0
