CHART_DATE,CHART_YEAR,CHART_MONTH,CHART_WEEK,ICE_SEASON,SEA_AREA,NCT_AREA,MYI_AREA,FYI_AREA,YOUNGICE_AREA,NEWICE_AREA
17/07/1972,1972,7,29,1972,33234.19033,33234.19035,3094.842037,30139.34831,0,0
24/07/1972,1972,7,30,1972,33234.1908,33234.19082,3920.411792,29313.77903,0,0
31/07/1972,1972,7,31,1972,33234.19072,33234.19074,2415.471696,31348.51836,0,0
07/08/1972,1972,8,32,1972,33234.19015,33234.15546,2171.632937,31549.39541,0,0
14/08/1972,1972,8,33,1972,33234.19022,32594.45037,2274.424165,30782.83447,0,0
21/08/1972,1972,8,34,1972,33234.1902,31119.30629,1126.775456,30186.26084,0,292.6986879
28/08/1972,1972,8,35,1972,33234.19028,30710.398,1440.042439,29903.42887,0,0
04/09/1972,1972,9,36,1972,33234.19055,28200.34439,1746.381706,27241.31474,0,0
11/09/1972,1972,9,37,1972,33234.19111,26758.84044,5931.49321,21304.02597,0,839.8147733
18/09/1972,1972,9,38,1972,33234.19063,29904.24113,1841.859716,24886.34643,998.1137416,2722.947561
25/09/1972,1972,9,39,1972,33234.19015,31682.36379,3838.004001,21982.88,5488.546323,2810.453075
02/10/1972,1972,10,40,1972,33234.19,33002.28717,24666.91946,1614.721487,4684.103857,2260.869236
09/10/1972,1972,10,41,1972,33234.19039,32726.94641,17407.38467,13030.36286,3522.389435,0.994173325
16/10/1972,1972,10,42,1972,33234.19069,33224.22466,26483.1543,5936.430508,1342.588095,85.96905532
23/10/1972,1972,10,43,1972,33234.1907,33140.71057,28035.81955,5104.891016,0,0
22/06/1973,1973,6,26,1973,33234.18048,33234.1805,7118.931484,26115.24901,0,0
29/06/1973,1973,6,27,1973,33234.18043,33234.18044,27841.77543,5392.40501,0,0
05/07/1973,1973,7,27,1973,33234.18057,33035.61512,26615.33183,6420.28329,0,0
13/07/1973,1973,7,29,1973,33234.18004,33229.89861,28938.99954,4290.899069,0,0
20/07/1973,1973,7,30,1973,33234.18053,31392.85049,28614.66621,2778.184279,0,0
27/07/1973,1973,7,31,1973,33234.17426,24431.42231,19163.7108,5267.726231,0,0
03/08/1973,1973,8,32,1973,33234.18066,25796.59414,25304.14009,492.4540441,0,0
10/08/1973,1973,8,33,1973,33234.17969,18027.47454,16025.23095,2002.243594,0,0
17/08/1973,1973,8,34,1973,33234.17985,16622.13883,12816.9817,3954.789065,0,0
24/08/1973,1973,8,35,1973,33234.18044,11182.38261,4886.862636,6713.601263,0,0
31/08/1973,1973,8,36,1973,33234.18022,5347.823565,4218.147187,1147.030523,0,0
07/09/1973,1973,9,37,1973,33234.18062,967.4212618,628.8238202,483.7106309,0,0
14/09/1973,1973,9,38,1973,33234.18039,3531.09488,1353.58637,0,0,2354.063253
21/09/1973,1973,9,39,1973,33234.18044,1721.339111,867.4445004,0,0,853.8946106
28/09/1973,1973,9,40,1973,33234.18038,1051.964198,131.4955248,0,657.4776238,262.9910495
05/10/1973,1973,10,41,1973,33234.18046,7456.64023,0,0,465.9708031,6990.669427
12/10/1973,1973,10,42,1973,33234.18039,6623.395889,0.143737057,0,521.3352037,6101.916948
19/10/1973,1973,10,43,1973,33234.18053,10606.40436,0.610481162,0,1504.750116,9101.135339
26/10/1973,1973,10,44,1973,33234.18026,29286.20117,0,0,6370.195955,23393.76991
21/06/1974,1974,6,25,1974,33234.18044,33234.18045,0,33234.18045,0,0
28/06/1974,1974,6,26,1974,33234.18044,33234.18045,0,33234.18045,0,0
05/07/1974,1974,7,27,1974,33234.18044,33234.18045,0,33234.18045,0,0
12/07/1974,1974,7,28,1974,33234.18044,33234.18045,0,33234.18045,0,0
19/07/1974,1974,7,29,1974,33234.18075,33015.53409,0,33015.53409,0,0
26/07/1974,1974,7,30,1974,33234.18037,27366.74521,1980.71472,26296.41194,0,0
02/08/1974,1974,8,31,1974,33234.18097,27962.81265,0,27962.81265,0,0
09/08/1974,1974,8,32,1974,33234.18061,20139.26179,299.57212,19839.68967,0,0
16/08/1974,1974,8,33,1974,33234.18046,14475.83143,0,14475.83143,0,0
23/08/1974,1974,8,34,1974,33234.18043,16017.38109,117.0795576,15900.30154,0,0
30/08/1974,1974,8,35,1974,33234.1809,14271.67746,1157.101795,13647.69265,0,0
06/09/1974,1974,9,36,1974,33234.18063,13374.5508,591.206009,13040.13037,0,0
13/09/1974,1974,9,37,1974,33234.18022,5050.637257,1227.869245,3948.708408,0,0
20/09/1974,1974,9,38,1974,33234.18049,1451.420069,628.8531967,967.6889047,0,0
27/09/1974,1974,9,39,1974,33234.18026,8848.588192,1441.541816,2518.933862,0,5155.381273
04/10/1974,1974,10,40,1974,33234.18075,25795.36754,4047.099099,3688.791985,5964.485605,16187.34078
01/06/1975,1975,6,23,1975,33234.18042,33234.18044,2893.181418,30340.99902,0,0
20/06/1975,1975,6,25,1975,33234.18113,24418.02542,2821.056534,29667.25586,0,0
27/06/1975,1975,6,26,1975,33234.18015,24783.76354,2881.089938,30342.89424,0,0
04/07/1975,1975,7,27,1975,33234.18023,29030.82137,3953.34425,29080.03004,0,0
11/07/1975,1975,7,28,1975,33234.18087,28738.29747,4513.222524,24225.07495,0,0
18/07/1975,1975,7,29,1975,33234.18045,26431.96969,2845.014311,24224.57413,0,0
25/07/1975,1975,7,30,1975,33234.18041,26884.54638,4239.216953,23777.70207,0,0
01/08/1975,1975,8,31,1975,33234.1799,20544.75392,2283.829476,18865.62505,0,0
08/08/1975,1975,8,32,1975,33234.18064,15514.67864,1825.856718,13688.82192,0,0
15/08/1975,1975,8,33,1975,33234.18012,14943.26098,3031.664776,12250.05819,0,0
22/08/1975,1975,8,34,1975,33234.18039,7573.592182,1583.132315,6007.203434,0,0
29/08/1975,1975,8,35,1975,33234.18057,4092.13578,965.6770042,3265.294385,0,0
05/09/1975,1975,9,36,1975,33234.18019,3709.486671,1140.77909,2778.579723,0,30.3195389
12/09/1975,1975,9,37,1975,33234.18039,2748.247132,845.0979311,1906.694484,0,134.6138335
19/09/1975,1975,9,38,1975,33234.18049,659.6682193,368.6486991,133.0018475,0,158.0176727
26/09/1975,1975,9,39,1975,33234.1806,2232.606118,1896.255551,386.6873955,0,0
03/10/1975,1975,10,40,1975,33234.17997,29443.93515,6744.877181,0,18419.93485,5184.734139
10/10/1975,1975,10,41,1975,33234.18079,31860.83577,7345.333869,0,21224.87638,4222.010789
17/10/1975,1975,10,42,1975,33234.18012,32334.54939,6529.500849,878.8113387,23049.04422,3086.309498
24/10/1975,1975,10,43,1975,33234.18135,32254.5165,7428.229266,2375.137612,22353.5137,1163.599759
31/10/1975,1975,10,44,1975,33234.17957,28285.62834,6282.236652,5113.779669,16606.62532,1688.048506
18/06/1976,1976,6,25,1976,33234.18033,33234.18035,4949.14966,28285.03069,0,0
25/06/1976,1976,6,26,1976,33234.18045,33234.18046,5148.9451,28085.23536,0,0
02/07/1976,1976,7,27,1976,33234.18084,33234.18085,5218.979797,28015.20105,0,0
09/07/1976,1976,7,28,1976,33234.18041,33234.18043,5088.15715,28146.02328,0,0
16/07/1976,1976,7,29,1976,33234.18026,33234.18028,5151.264827,28082.91545,0,0
23/07/1976,1976,7,30,1976,33234.18062,33076.49138,3901.964761,29332.21588,0,0
30/07/1976,1976,7,31,1976,33234.18037,32676.23505,4235.891508,28654.61188,0,0
06/08/1976,1976,8,32,1976,33234.18062,32111.60379,4127.483144,28195.54357,0,0
13/08/1976,1976,8,33,1976,33234.18031,27895.87632,3425.551648,24663.58733,0,0
20/08/1976,1976,8,34,1976,33234.18034,27031.64272,1681.146297,25586.64775,0,0
27/08/1976,1976,8,35,1976,33234.1806,26888.10883,8546.444445,19581.94595,0,0
03/09/1976,1976,9,36,1976,33234.1805,28282.30571,6034.18922,23093.67977,0,0
10/09/1976,1976,9,37,1976,33234.18075,26887.30474,7911.447925,19972.0986,0,0
17/09/1976,1976,9,38,1976,33234.18038,25405.0929,9751.000498,11416.30833,25.48346947,5071.434691
24/09/1976,1976,9,39,1976,33234.18006,28451.82073,9092.947785,12988.9144,3725.406235,3649.291914
01/10/1976,1976,10,40,1976,33234.18037,31974.12859,18088.04543,0,7499.384365,7369.536852
08/10/1976,1976,10,41,1976,33234.18014,32256.06517,16035.45356,0,15106.75512,2353.086161
15/10/1976,1976,10,42,1976,33234.18047,31895.64268,12911.99681,1230.438691,17556.0259,1318.846615
22/10/1976,1976,10,43,1976,33234.18003,32274.12984,13757.32081,2610.028042,16504.01461,520.8032488
29/10/1976,1976,10,44,1976,33234.18063,32564.60105,18199.10243,2833.775726,10555.43146,1934.780129
10/06/1977,1977,6,24,1977,33234.18031,33234.18032,12673.63051,20560.5498,0,0
17/06/1977,1977,6,25,1977,33234.18069,33234.1807,12514.79857,20719.38214,0,0
24/06/1977,1977,6,26,1977,33234.18063,33234.18064,12668.28261,20565.89804,0,0
01/07/1977,1977,7,27,1977,33234.18006,33234.18007,11271.61326,21962.56681,0,0
08/07/1977,1977,7,28,1977,33234.18002,33234.18004,12702.68083,20531.49921,0,0
15/07/1977,1977,7,29,1977,33234.1805,32785.61563,13723.61696,19061.99867,0,0
22/07/1977,1977,7,30,1977,33234.18032,32785.60958,14338.74984,18454.50312,0,0
29/07/1977,1977,7,31,1977,33234.18036,32835.92224,9153.863313,23682.05893,0,0
