CHART_DATE,CHART_YEAR,CHART_MONTH,CHART_WEEK,ICE_SEASON,SEA_AREA,NCT_AREA,MYI_AREA,FYI_AREA,YOUNGICE_AREA,NEWICE_AREA
04/09/1972,1972,9,36,1972,94923.95195,86864.95596,18066.07124,70875.73417,0,882.3341293
11/09/1972,1972,9,37,1972,94923.95124,84617.10102,9929.87845,75313.5662,0,691.7815231
18/09/1972,1972,9,38,1972,94923.95216,87186.61227,20166.04206,60593.17317,4421.760756,5382.265549
25/09/1972,1972,9,39,1972,94923.95056,90345.60574,30100.06482,35270.10122,14295.80371,13224.64573
02/10/1972,1972,10,40,1972,94923.95096,92484.84355,69349.5526,7251.395867,16828.43799,2197.210001
09/10/1972,1972,10,41,1972,94923.95148,93503.78944,88860.51143,808.8890262,3111.097822,914.8219219
16/10/1972,1972,10,42,1972,94923.95298,93628.64071,67368.00463,17949.99028,9847.674221,232.8203417
23/10/1972,1972,10,43,1972,94923.95143,92741.76265,75921.22848,10607.78225,8286.411784,186.6252674
22/06/1973,1973,6,26,1973,94923.96751,92166.56967,89155.86362,3010.706044,0,0
29/06/1973,1973,6,27,1973,94923.96746,94923.96746,92330.47534,2593.492126,0,0
05/07/1973,1973,7,27,1973,94923.96715,94923.96715,92196.28187,2727.685279,0,0
13/07/1973,1973,7,29,1973,94923.96732,94820.39818,90380.59472,4439.803458,0,0
20/07/1973,1973,7,30,1973,94923.96752,94604.52556,91266.06711,3373.219504,0,0
27/07/1973,1973,7,31,1973,94923.96877,89535.61497,82948.46746,6587.147514,0,0
03/08/1973,1973,8,32,1973,94923.96776,88989.84725,88989.84725,0,0,0
10/08/1973,1973,8,33,1973,94923.96878,79383.38845,74477.34953,4906.038914,0,0
17/08/1973,1973,8,34,1973,94923.96845,77747.88151,75082.77937,2756.559569,0,0
24/08/1973,1973,8,35,1973,94923.96817,55658.92945,32091.78859,23591.04552,0,0
31/08/1973,1973,8,36,1973,94923.96824,54732.36409,28792.05758,27826.12009,0,0
07/09/1973,1973,9,37,1973,94923.96762,53176.24888,40040.46177,10702.14025,0,2764.900116
14/09/1973,1973,9,38,1973,94923.96898,67687.78476,36490.34798,12486.91784,1334.656906,18541.87093
21/09/1973,1973,9,39,1973,94923.96748,82004.88981,25947.1435,1217.348929,21135.10481,35416.62196
28/09/1973,1973,9,40,1973,94923.96787,87973.52097,21716.01701,2013.978289,48651.53115,17477.86558
05/10/1973,1973,10,41,1973,94923.96713,90929.9876,21756.18538,0,51876.5501,21663.46217
12/10/1973,1973,10,42,1973,94923.96762,91787.4001,8945.754935,0,68781.58653,17831.46201
19/10/1973,1973,10,43,1973,94923.96669,92090.752,9707.562854,5312.310299,69382.36084,10867.63592
26/10/1973,1973,10,44,1973,94923.96858,91906.54695,10200.57521,47182.4662,35424.79952,2182.023958
21/06/1974,1974,6,25,1974,94923.96759,93760.8382,16741.68872,77466.27421,0,0
